stop_id,direction_name
R01N,(Terminating trains)
R01S,Manhattan
R03N,Ditmars Blvd
R03S,Manhattan
R04N,Astoria - Ditmars Blvd
R04S,Manhattan
R05N,Astoria - Ditmars Blvd
R05S,Manhattan
R06N,Astoria - Ditmars Blvd
R06S,Manhattan
R08N,Astoria - Ditmars Blvd
R08S,Manhattan
R11N,Queens
R11S,Downtown and Brooklyn
R13N,Queens
R13S,Downtown and Brooklyn
R14N,Queens
R14S,Downtown and Brooklyn
R15N,Uptown and Queens
R15S,Downtown and Brooklyn
R16N,Uptown and Queens
R16S,Downtown and Brooklyn
R17N,Uptown and Queens
R17S,Downtown and Brooklyn
R18N,Uptown and Queens
R18S,Downtown and Brooklyn
R19N,Uptown and Queens
R19S,Downtown and Brooklyn
R20N,Uptown and Queens
R20S,Downtown and Brooklyn
R21N,Uptown and Queens
R21S,Downtown and Brooklyn
R22N,Uptown and Queens
R22S,Downtown and Brooklyn
R23N,Uptown and Queens
R23S,Downtown and Brooklyn
Q01N,Uptown and Queens
Q01S,Downtown and Brooklyn
R24N,Uptown and Queens
R24S,Downtown and Brooklyn
R25N,Uptown and Queens
R25S,Downtown and Brooklyn
R26N,Uptown and Queens
R26S,Downtown and Brooklyn
R27N,Uptown and Queens
R27S,Brooklyn
R28N,Manhattan
R28S,Bay Ridge - 95 St
R29N,Manhattan
R29S,Bay Ridge - 95 St
R30N,Manhattan
R30S,Coney Island - Bay Ridge
R31N,Manhattan
R31S,Coney Island - Bay Ridge
R32N,Manhattan
R32S,Bay Ridge - 95 St
R33N,Manhattan
R33S,Bay Ridge - 95 St
R34N,Manhattan
R34S,Bay Ridge - 95 St
R35N,Manhattan
R35S,Bay Ridge - 95 St
R36N,Manhattan
R36S,Coney Island - Bay Ridge
R39N,Manhattan
R39S,Bay Ridge - 95 St
R40N,Manhattan
R40S,Bay Ridge - 95 St
R41N,Manhattan
R41S,Coney Island - Bay Ridge
R42N,Manhattan
R42S,95 St
R43N,Manhattan
R43S,95 St
R44N,Manhattan
R44S,95 St
R45N,Manhattan
R45S,(Terminating trains)
D24N,Manhattan
D24S,Brighton Beach and Coney Island
D25N,Manhattan
D25S,Brighton Beach and Coney Island
D26N,Manhattan
D26S,Brighton Beach and Coney Island
D27N,Manhattan
D27S,Brighton Beach and Coney Island
D28N,Manhattan
D28S,Brighton Beach and Coney Island
D29N,Manhattan
D29S,Brighton Beach and Coney Island
D30N,Manhattan
D30S,Brighton Beach and Coney Island
D31N,Manhattan
D31S,Brighton Beach and Coney Island
D32N,Manhattan
D32S,Brighton Beach and Coney Island
D33N,Manhattan
D33S,Brighton Beach and Coney Island
D34N,Manhattan
D34S,Brighton Beach and Coney Island
D35N,Manhattan
D35S,Brighton Beach and Coney Island
D37N,Manhattan
D37S,Brighton Beach and Coney Island
D38N,Manhattan
D38S,Brighton Beach and Coney Island
D39N,Manhattan
D39S,Brighton Beach and Coney Island
D40N,Manhattan
D40S,Coney Island
D41N,Manhattan
D41S,Stillwell Av
D42N,Manhattan
D42S,Stillwell Av
D43N,Manhattan
D43S,(Terminating trains)
B12N,Manhattan
B12S,Coney Island
B13N,Manhattan
B13S,Coney Island
B14N,Manhattan
B14S,Coney Island
B15N,Manhattan
B15S,Coney Island
B16N,Manhattan
B16S,Coney Island
B17N,Manhattan
B17S,Coney Island
B18N,Manhattan
B18S,Coney Island
B19N,Manhattan
B19S,Coney Island
B20N,Manhattan
B20S,Coney Island
B21N,Manhattan
B21S,Coney Island
B22N,Manhattan
B22S,Coney Island
B23N,Manhattan
B23S,Coney Island
N02N,Manhattan
N02S,Coney Island
N03N,Manhattan
N03S,Coney Island
N04N,Manhattan
N04S,Coney Island
N05N,Manhattan
N05S,Coney Island
N06N,Manhattan
N06S,Coney Island
N07N,Manhattan
N07S,Coney Island
N08N,Manhattan
N08S,Coney Island
N09N,Manhattan
N09S,Coney Island
N10N,Manhattan
N10S,Coney Island
J12N,Jamaica
J12S,Manhattan
J13N,Jamaica
J13S,Manhattan
J14N,Jamaica
J14S,Manhattan
J15N,Jamaica
J15S,Manhattan
J16N,Jamaica
J16S,Manhattan
J17N,Jamaica
J17S,Manhattan
J19N,Jamaica
J19S,Manhattan
J20N,Jamaica
J20S,Manhattan
J21N,Jamaica
J21S,Manhattan
J22N,Jamaica
J22S,Manhattan
J23N,Jamaica
J23S,Manhattan
J24N,Jamaica
J24S,Manhattan
J27N,Jamaica
J27S,Manhattan
J28N,Jamaica
J28S,Manhattan
J29N,Jamaica
J29S,Manhattan
J30N,Jamaica
J30S,Manhattan
J31N,Jamaica
J31S,Manhattan
M11N,Jamaica - Middle Village
M11S,Manhattan
M12N,Jamaica - Middle Village
M12S,Manhattan
M13N,Jamaica - Middle Village
M13S,Manhattan
M14N,Jamaica - Middle Village
M14S,Manhattan
M16N,Jamaica - Middle Village
M16S,Manhattan
M18N,Brooklyn
M18S,Broad St (JZ) - Uptown (M)
M19N,Brooklyn
M19S,Broad St
M20N,Brooklyn
M20S,Broad St
M21N,Brooklyn
M21S,Broad St
M22N,Brooklyn
M22S,Broad St
M23N,Brooklyn
M23S,(Terminating trains)
M01N,Manhattan
M01S,(Terminating trains)
M04N,Manhattan
M04S,Metropolitan Av
M05N,Manhattan
M05S,Metropolitan Av
M06N,Manhattan
M06S,Metropolitan Av
M08N,Manhattan
M08S,Metropolitan Av
M09N,Manhattan
M09S,Metropolitan Av
M10N,Manhattan
M10S,Metropolitan Av
L01N,(Terminating trains)
L01S,Brooklyn
L02N,8 Av
L02S,Brooklyn
L03N,8 Av
L03S,Brooklyn
L05N,8 Av
L05S,Brooklyn
L06N,8 Av
L06S,Brooklyn
L08N,Manhattan
L08S,Canarsie - Rockaway Parkway
L10N,Manhattan
L10S,Canarsie - Rockaway Parkway
L11N,Manhattan
L11S,Canarsie - Rockaway Parkway
L12N,Manhattan
L12S,Canarsie - Rockaway Parkway
L13N,Manhattan
L13S,Canarsie - Rockaway Parkway
L14N,Manhattan
L14S,Canarsie - Rockaway Parkway
L15N,Manhattan
L15S,Canarsie - Rockaway Parkway
L16N,Manhattan
L16S,Canarsie - Rockaway Parkway
L17N,Manhattan
L17S,Canarsie - Rockaway Parkway
L19N,Manhattan
L19S,Canarsie - Rockaway Parkway
L20N,Manhattan
L20S,Canarsie - Rockaway Parkway
L21N,Manhattan
L21S,Canarsie - Rockaway Parkway
L22N,Manhattan
L22S,Canarsie - Rockaway Parkway
L24N,Manhattan
L24S,Canarsie - Rockaway Parkway
L25N,Manhattan
L25S,Canarsie - Rockaway Parkway
L26N,Manhattan
L26S,Canarsie - Rockaway Parkway
L27N,Manhattan
L27S,Canarsie - Rockaway Parkway
L28N,Manhattan
L28S,Canarsie - Rockaway Parkway
L29N,Manhattan
L29S,(Terminating trains)
