stop_id,direction_name
101S,"Manhattan"
101N,"Van Cortlandt Park - 242 St"
103S,"Manhattan"
103N,"Van Cortlandt Park - 242 St"
104S,"Manhattan"
104N,"Van Cortlandt Park - 242 St"
106S,"Manhattan"
106N,"Van Cortlandt Park - 242 St"
107S,"Downtown"
107N,"The Bronx"
108S,"Downtown"
108N,"Uptown and The Bronx"
109S,"Downtown"
109N,"Uptown and The Bronx"
110S,"Downtown"
110N,"Uptown and The Bronx"
111S,"Downtown"
111N,"Uptown and The Bronx"
112S,"Downtown"
112N,"Uptown and The Bronx"
113S,"Downtown"
113N,"Uptown and The Bronx"
114S,"Downtown"
114N,"Uptown and The Bronx"
115S,"Downtown"
115N,"Uptown and The Bronx"
116S,"Downtown"
116N,"Uptown and The Bronx"
117S,"Downtown"
117N,"Uptown and The Bronx"
118S,"Downtown"
118N,"Uptown and The Bronx"
119S,"Downtown"
119N,"Uptown and The Bronx"
120S,"Downtown and Brooklyn"
120N,"Uptown and The Bronx"
121S,"Downtown and Brooklyn"
121N,"Uptown and The Bronx"
122S,"Downtown and Brooklyn"
122N,"Uptown and The Bronx"
123S,"Downtown and Brooklyn"
123N,"Uptown and The Bronx"
124S,"Downtown and Brooklyn"
124N,"Uptown and The Bronx"
125S,"Downtown and Brooklyn"
125N,"Uptown and The Bronx"
126S,"Downtown and Brooklyn"
126N,"Uptown and The Bronx"
127S,"Downtown and Brooklyn"
127N,"Uptown and The Bronx"
128S,"Downtown and Brooklyn"
128N,"Uptown and The Bronx"
129S,"Downtown and Brooklyn"
129N,"Uptown and The Bronx"
130S,"Downtown and Brooklyn"
130N,"Uptown and The Bronx"
131S,"Downtown and Brooklyn"
131N,"Uptown and The Bronx"
132S,"Downtown and Brooklyn"
132N,"Uptown and The Bronx"
133S,"Downtown and Brooklyn"
133N,"Uptown and The Bronx"
134S,"Downtown and Brooklyn"
134N,"Uptown and The Bronx"
135S,"Downtown and Brooklyn"
135N,"Uptown and The Bronx"
136S,"Downtown and Brooklyn"
136N,"Uptown and The Bronx"
137S,"Downtown and Brooklyn"
137N,"Uptown and The Bronx"
138S,"Downtown (South Ferry)"
138N,"Uptown and The Bronx"
139S,"Downtown (South Ferry)"
139N,"Uptown and The Bronx"
140S,"Downtown (South Ferry)"
140N,"Uptown and The Bronx"
142S,"Downtown (South Ferry)"
142N,"Uptown and The Bronx"
201S,"Manhattan"
201N,"Wakefield - 241 St"
204S,"Manhattan"
204N,"Wakefield - 241 St"
205S,"Manhattan"
205N,"Wakefield - 241 St"
206S,"Manhattan"
206N,"Wakefield - 241 St"
207S,"Manhattan"
207N,"Wakefield - 241 St"
208S,"Manhattan"
208N,"Wakefield - 241 St"
209S,"Manhattan"
209N,"Wakefield - 241 St"
210S,"Manhattan"
210N,"Wakefield - 241 St"
211S,"Manhattan"
211N,"Wakefield - 241 St"
212S,"Manhattan"
212N,"Wakefield - 241 St"
213S,"Manhattan"
213N,"Eastchester - Dyre Av and Wakefield - 241 St"
214S,"Manhattan"
214N,"Eastchester - Dyre Av and Wakefield - 241 St"
215S,"Manhattan"
215N,"Eastchester - Dyre Av and Wakefield - 241 St"
216S,"Manhattan"
216N,"Eastchester - Dyre Av and Wakefield - 241 St"
217S,"Manhattan"
217N,"Eastchester - Dyre Av and Wakefield - 241 St"
218S,"Manhattan"
218N,"Eastchester - Dyre Av and Wakefield - 241 St"
219S,"Manhattan"
219N,"Eastchester - Dyre Av and Wakefield - 241 St"
220S,"Manhattan"
220N,"Eastchester - Dyre Av and Wakefield - 241 St"
221S,"Manhattan"
221N,"Eastchester - Dyre Av and Wakefield - 241 St"
222S,"Manhattan"
222N,"Eastchester - Dyre Av and Wakefield - 241 St"
224S,"Downtown and Brooklyn"
224N,"Uptown and The Bronx"
225S,"Downtown and Brooklyn"
225N,"Uptown and The Bronx"
226S,"Downtown and Brooklyn"
226N,"Uptown and The Bronx"
227S,"Downtown and Brooklyn"
227N,"Uptown and The Bronx"
228S,"Downtown and Brooklyn"
228N,"Uptown and The Bronx"
229S,"Downtown and Brooklyn"
229N,"Uptown and The Bronx"
230S,"Brooklyn"
230N,"Uptown and The Bronx"
231S,"New Lots Av and Flatbush Av"
231N,"Manhattan"
232S,"New Lots Av and Flatbush Av"
232N,"Manhattan"
233S,"New Lots Av and Flatbush Av"
233N,"Manhattan"
234S,"New Lots Av and Flatbush Av"
234N,"Manhattan"
235S,"New Lots Av and Flatbush Av"
235N,"Manhattan"
236S,"New Lots Av and Flatbush Av"
236N,"Manhattan"
237S,"New Lots Av and Flatbush Av"
237N,"Manhattan"
238S,"New Lots Av and Flatbush Av"
238N,"Manhattan"
239S,"New Lots Av and Flatbush Av"
239N,"Manhattan"
241S,"Flatbush Av - Brooklyn College"
241N,"Manhattan"
242S,"Flatbush Av - Brooklyn College"
242N,"Manhattan"
243S,"Flatbush Av - Brooklyn College"
243N,"Manhattan"
244S,"Flatbush Av - Brooklyn College"
244N,"Manhattan"
245S,"Flatbush Av - Brooklyn College"
245N,"Manhattan"
246S,"Flatbush Av - Brooklyn College"
246N,"Manhattan"
247S,"Flatbush Av - Brooklyn College"
247N,"Manhattan"
248S,"Flatbush Av - Brooklyn College"
248N,"Manhattan"
249S,"Flatbush Av - Brooklyn College"
249N,"Manhattan"
250S,"Flatbush Av - Brooklyn College"
250N,"Manhattan"
251S,"Flatbush Av - Brooklyn College"
251N,"Manhattan"
252S,"Flatbush Av - Brooklyn College"
252N,"Manhattan"
253S,"Flatbush Av - Brooklyn College"
253N,"Manhattan"
254S,"Flatbush Av - Brooklyn College"
254N,"Manhattan"
255S,"Flatbush Av - Brooklyn College"
255N,"Manhattan"
256S,"Flatbush Av - Brooklyn College"
256N,"Manhattan"
257S,"Flatbush Av - Brooklyn College"
257N,"Manhattan"
301S,"Downtown and Brooklyn"
301N,"Harlem - 148 St"
302S,"Downtown and Brooklyn"
302N,"Harlem - 148 St"
401S,"Manhattan"
401N,"Woodlawn"
402S,"Manhattan"
402N,"Woodlawn"
405S,"Manhattan"
405N,"Woodlawn"
406S,"Manhattan"
406N,"Woodlawn"
407S,"Manhattan"
407N,"Woodlawn"
408S,"Manhattan"
408N,"Woodlawn"
409S,"Manhattan"
409N,"Woodlawn"
410S,"Manhattan"
410N,"Woodlawn"
411S,"Manhattan"
411N,"Woodlawn"
412S,"Manhattan"
412N,"Woodlawn"
413S,"Manhattan"
413N,"Woodlawn"
414S,"Manhattan"
414N,"Woodlawn"
415S,"Manhattan"
415N,"Woodlawn"
416S,"Manhattan"
416N,"Woodlawn and Eastchester - Dyre Av"
418S,"Downtown and Brooklyn"
418N,"Uptown and The Bronx"
419S,"Downtown and Brooklyn"
419N,"Uptown and The Bronx"
420S,"Brooklyn"
420N,"Uptown and The Bronx"
423S,"New Lots Av and Flatbush Av"
423N,"Manhattan"
501S,"Manhattan"
501N,"Eastchester - Dyre Av"
502S,"Manhattan"
502N,"Eastchester - Dyre Av"
503S,"Manhattan"
503N,"Eastchester - Dyre Av"
504S,"Manhattan"
504N,"Eastchester - Dyre Av"
505S,"Manhattan"
505N,"Eastchester - Dyre Av"
601S,"Manhattan"
601N,"Pelham Bay Park"
602S,"Manhattan"
602N,"Pelham Bay Park"
603S,"Manhattan"
603N,"Pelham Bay Park"
604S,"Manhattan"
604N,"Pelham Bay Park"
606S,"Manhattan"
606N,"Pelham Bay Park"
607S,"Manhattan"
607N,"Pelham Bay Park"
608S,"Manhattan"
608N,"Pelham Bay Park"
609S,"Manhattan"
609N,"Pelham Bay Park"
610S,"Manhattan"
610N,"Pelham Bay Park"
611S,"Manhattan"
611N,"Pelham Bay Park"
612S,"Manhattan"
612N,"Pelham Bay Park"
613S,"Manhattan"
613N,"Pelham Bay Park"
614S,"Manhattan"
614N,"Pelham Bay Park"
615S,"Manhattan"
615N,"Pelham Bay Park"
616S,"Manhattan"
616N,"Pelham Bay Park"
617S,"Manhattan"
617N,"Pelham Bay Park"
618S,"Manhattan"
618N,"Pelham Bay Park"
619S,"Manhattan"
619N,"Pelham Bay Park"
621S,"Downtown and Brooklyn"
621N,"The Bronx"
622S,"Downtown and Brooklyn"
622N,"Uptown and The Bronx"
623S,"Downtown and Brooklyn"
623N,"Uptown and The Bronx"
624S,"Downtown and Brooklyn"
624N,"Uptown and The Bronx"
625S,"Downtown and Brooklyn"
625N,"Uptown and The Bronx"
626S,"Downtown and Brooklyn"
626N,"Uptown and The Bronx"
627S,"Downtown and Brooklyn"
627N,"Uptown and The Bronx"
628S,"Downtown and Brooklyn"
628N,"Uptown and The Bronx"
629S,"Downtown and Brooklyn"
629N,"Uptown and The Bronx"
630S,"Downtown and Brooklyn"
630N,"Uptown and The Bronx"
631S,"Downtown and Brooklyn"
631N,"Uptown and The Bronx"
632S,"Downtown and Brooklyn"
632N,"Uptown and The Bronx"
633S,"Downtown and Brooklyn"
633N,"Uptown and The Bronx"
634S,"Downtown and Brooklyn"
634N,"Uptown and The Bronx"
635S,"Downtown and Brooklyn"
635N,"Uptown and The Bronx"
636S,"Downtown and Brooklyn"
636N,"Uptown and The Bronx"
637S,"Downtown and Brooklyn"
637N,"Uptown and The Bronx"
638S,"Downtown and Brooklyn"
638N,"Uptown and The Bronx"
639S,"Downtown and Brooklyn"
639N,"Uptown and The Bronx"
640S,"Downtown and Brooklyn"
640N,"Uptown and The Bronx"
701S,"Manhattan"
701N,"Flushing - Main St"
702S,"Manhattan"
702N,"Flushing - Main St"
705S,"Manhattan"
705N,"Flushing - Main St"
706S,"Manhattan"
706N,"Flushing - Main St"
707S,"Manhattan"
707N,"Flushing - Main St"
708S,"Manhattan"
708N,"Flushing - Main St"
709S,"Manhattan"
709N,"Flushing - Main St"
710S,"Manhattan"
710N,"Flushing - Main St"
711S,"Manhattan"
711N,"Flushing - Main St"
712S,"Manhattan"
712N,"Flushing - Main St"
713S,"Manhattan"
713N,"Flushing - Main St"
714S,"Manhattan"
714N,"Flushing - Main St"
715S,"Manhattan"
715N,"Flushing - Main St"
716S,"Manhattan"
716N,"Flushing - Main St"
718S,"Manhattan"
718N,"Flushing - Main St"
719S,"Manhattan"
719N,"Flushing - Main St"
720S,"Manhattan"
720N,"Flushing - Main St"
721S,"Manhattan"
721N,"Flushing - Main St"
723S,"34 St - Hudson Yards"
723N,"Queens"
724S,"34 St - Hudson Yards"
724N,"Queens"
725S,"34 St - Hudson Yards"
725N,"Queens"
726S,"34 St - Hudson Yards"
726N,"Queens"
901S,"Times Square"
901N,"Grand Central"
902S,"Times Square"
902N,"Grand Central"
A02S,"Downtown and Brooklyn"
A02N,"Inwood - 207 St"
A03S,"Downtown and Brooklyn"
A03N,"Inwood - 207 St"
A05S,"Downtown and Brooklyn"
A05N,"Inwood - 207 St"
A06S,"Downtown and Brooklyn"
A06N,"Inwood - 207 St"
A07S,"Downtown and Brooklyn"
A07N,"Inwood - 207 St"
A09S,"Downtown and Brooklyn"
A09N,"Inwood - 207 St"
A10S,"Downtown and Brooklyn"
A10N,"Inwood - 207 St"
A11S,"Downtown and Brooklyn"
A11N,"Inwood - 207 St"
A12S,"Downtown and Brooklyn"
A12N,"Uptown and The Bronx"
A14S,"Downtown and Brooklyn"
A14N,"Uptown and The Bronx"
A15S,"Downtown and Brooklyn"
A15N,"Uptown and The Bronx"
A16S,"Downtown and Brooklyn"
A16N,"Uptown and The Bronx"
A17S,"Downtown and Brooklyn"
A17N,"Uptown and The Bronx"
A18S,"Downtown and Brooklyn"
A18N,"Uptown and The Bronx"
A19S,"Downtown and Brooklyn"
A19N,"Uptown and The Bronx"
A20S,"Downtown and Brooklyn"
A20N,"Uptown and The Bronx"
A21S,"Downtown and Brooklyn"
A21N,"Uptown and The Bronx"
A22S,"Downtown and Brooklyn"
A22N,"Uptown and The Bronx"
